"Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG"
"BOS","1702","5666","6455","1571","1107","326","30","108","774","716","643","57","755","36","58","52","169","56","35",".277"
"MIN","1881","5581","6207","1542","1112","278","35","117","740","691","478","40","743","39","58","51","126","111","53",".276"
"CHW","1685","5504","6132","1493","1101","262","36","94","693","661","464","51","873","28","51","85","113","97","52",".271"
"NYY","1733","5458","6096","1470","1088","229","23","130","698","657","502","48","831","27","49","58","130","137","60",".269"
"TEX","1841","5458","6099","1433","1005","260","46","122","695","654","503","28","989","34","40","63","151","101","49",".263"
"OAK","1751","5416","6110","1414","1042","220","25","127","712","659","562","37","855","34","62","36","163","157","55",".261"
"CHC","2172","5513","6141","1438","1034","235","45","124","702","653","472","75","921","26","50","80","114","136","57",".261"
"KCR","1876","5475","6151","1428","1059","227","41","101","690","653","554","50","897","29","50","42","141","154","51",".261"
"TOR","1722","5581","6216","1449","1002","265","40","142","731","685","521","32","923","31","53","30","124","144","58",".260"
"MIL","1667","5473","6085","1415","1022","235","32","126","707","660","455","41","791","50","54","51","108","165","62",".259"
"STL","2234","5492","6141","1418","1035","263","47","73","632","587","507","59","848","21","43","78","120","155","54",".258"
"SEA","1724","5512","6134","1417","1017","237","29","134","694","653","489","40","838","45","52","35","109","81","55",".257"
"CAL","1599","5545","6102","1422","1032","208","37","145","669","624","429","48","1011","28","46","54","114","89","40",".256"
"BAL","1725","5440","6173","1369","969","238","33","129","708","659","593","44","957","30","47","63","140","118","55",".252"
"SDP","2047","5422","6120","1360","993","215","32","120","642","598","552","79","1013","9","41","95","115","136","67",".251"
"SFG","2315","5469","6139","1365","931","241","52","141","699","647","508","83","1071","40","39","82","84","87","54",".250"
"MON","2185","5482","6207","1353","956","267","30","100","632","587","572","83","958","35","46","71","119","159","70",".247"
"CIN","2248","5520","6158","1362","963","243","28","128","632","588","493","67","1028","30","49","66","96","128","71",".247"
"NYM","2084","5489","6131","1351","903","280","21","147","683","633","504","69","934","33","48","56","87","158","53",".246"
"CLE","1720","5463","6111","1340","966","221","26","127","604","567","499","53","934","35","41","72","109","74","51",".245"
"PHI","2240","5447","6128","1324","950","215","36","123","629","594","558","57","926","22","42","57","107","106","50",".243"
"DET","1782","5432","6133","1315","977","198","24","116","617","564","585","25","899","37","43","35","138","103","50",".242"
"PIT","2211","5539","6261","1334","923","263","53","95","637","584","563","91","914","24","51","83","115","155","69",".241"
"LAD","2109","5465","6124","1313","966","241","17","89","554","513","507","77","885","27","41","83","98","81","54",".240"
"HOU","2210","5516","6200","1316","952","239","28","97","647","598","530","62","860","27","44","83","79","144","62",".239"
"ATL","2165","5463","6079","1281","930","201","22","128","584","544","485","51","996","24","42","65","94","83","54",".234"
