"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"NYY","95","65","57","523","161","1451.1","7.85","2.88","0.98",".300","71.5%","","","","4.04","","3.79","","26.1"
"OAK","102","60","44","578","162","1463.1","6.87","2.71","0.94",".282","74.0%","","","","3.59","","3.88","","23.9"
"CHC","88","74","41","614","162","1437.0","8.42","3.44","1.03",".294","72.7%","","","","4.03","","3.91","","22.2"
"ARI","92","70","34","583","162","1459.2","8.00","2.84","1.20",".284","74.7%","","","","3.88","","4.08","","21.8"
"ATL","88","74","41","573","162","1447.1","7.05","3.10","0.95",".283","74.5%","","","","3.59","","3.96","","21.1"
"CLE","91","71","42","645","162","1446.2","7.58","3.56","0.92",".315","68.1%","","","","4.65","","3.99","","21.1"
"BOS","82","79","48","585","161","1448.0","7.83","3.38","0.91",".299","70.7%","","","","4.18","","3.94","","19.1"
"SEA","116","46","56","553","162","1465.0","6.46","2.86","0.98",".260","74.8%","","","","3.54","","4.12","","18.9"
"TOR","80","82","41","633","162","1462.2","6.41","3.02","1.02",".306","72.4%","","","","4.28","","4.25","","18.0"
"NYM","82","80","48","559","162","1445.2","7.41","2.73","1.16",".290","72.4%","","","","4.08","","4.07","","17.2"
"SFG","90","72","47","601","162","1463.1","6.64","3.56","0.89",".290","70.5%","","","","4.19","","4.12","","16.6"
"LAD","86","76","46","570","162","1450.2","7.52","3.25","1.14",".286","71.8%","","","","4.25","","4.26","","16.4"
"HOU","93","69","48","567","162","1454.2","7.60","3.01","1.37",".291","73.0%","","","","4.39","","4.48","","14.4"
"MON","68","94","28","653","162","1431.1","6.94","3.30","1.19",".302","70.1%","","","","4.69","","4.46","","14.0"
"ANA","75","87","43","546","162","1437.2","5.93","3.29","1.05",".286","72.6%","","","","4.20","","4.48","","14.0"
"PHI","86","76","47","635","162","1445.1","6.76","3.28","1.06",".287","72.9%","","","","4.16","","4.31","","13.6"
"CHW","83","79","51","568","162","1433.1","5.78","3.14","1.14",".285","69.9%","","","","4.55","","4.64","","13.4"
"FLA","76","86","32","592","162","1438.0","7.00","3.86","0.95",".292","71.6%","","","","4.32","","4.29","","13.2"
"STL","93","69","38","646","162","1435.1","6.79","3.30","1.23",".281","76.1%","","","","3.96","","4.57","","12.2"
"MIN","85","77","45","564","162","1441.1","6.03","2.78","1.20",".287","71.2%","","","","4.51","","4.48","","11.7"
"COL","73","89","26","636","162","1430.0","6.66","3.76","1.50",".295","69.1%","","","","5.29","","5.13","","10.4"
"CIN","66","96","35","623","162","1442.2","5.88","3.21","1.24",".297","69.2%","","","","4.78","","4.70","","10.1"
"BAL","63","98","31","554","162","1432.1","5.89","3.32","1.22",".289","69.6%","","","","4.70","","4.76","","9.9"
"PIT","62","100","36","572","162","1416.1","5.77","3.49","1.06",".293","66.9%","","","","5.05","","4.63","","9.0"
"SDP","79","83","46","584","162","1440.2","6.80","2.97","1.37",".293","71.0%","","","","4.52","","4.62","","8.1"
"KCR","65","97","30","558","162","1440.0","5.69","3.60","1.31",".293","69.9%","","","","4.87","","5.00","","7.6"
"MIL","68","94","28","651","162","1436.1","6.62","4.18","1.23",".289","72.3%","","","","4.65","","4.90","","6.7"
"DET","66","96","34","553","162","1429.1","5.41","3.48","1.13",".307","68.8%","","","","5.01","","4.80","","6.7"
"TBD","62","100","30","532","162","1423.2","6.51","3.60","1.31",".296","68.0%","","","","4.96","","4.85","","6.5"
"TEX","73","89","37","572","162","1438.1","5.95","3.73","1.39",".312","67.4%","","","","5.71","","5.11","","5.8"
