"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"BOS","1438.2","108","91","119","94","111","94","92","90","94","105","83","96","96","94","97","106"
"CHC","1446.2","112","107","105","98","114","108","92","94","95","104","88","96","97","96","96","107"
"ARI","1441.0","101","102","99","101","102","103","98","99","99","102","88","98","98","101","102","97"
"TOR","1448.2","100","90","111","97","103","92","94","91","93","102","89","96","94","98","111","88"
"COL","1472.0","88","92","95","96","90","94","100","97","97","100","90","97","100","96","108","93"
"CLE","1462.2","97","76","128","89","99","78","100","93","100","102","92","94","95","98","103","97"
"SDP","1484.2","103","86","120","69","106","89","94","90","97","101","92","88","92","96","106","95"
"ATL","1456.1","102","99","103","102","103","100","97","97","97","102","94","100","95","100","105","94"
"MIN","1436.2","103","79","130","115","105","81","100","95","100","104","94","101","95","99","98","103"
"LAA","1435.0","109","90","121","94","110","91","99","97","102","101","94","93","96","99","96","105"
"SFG","1453.2","98","110","89","79","98","110","97","100","99","101","94","97","102","99","100","101"
"LAD","1450.0","110","96","114","87","112","98","98","97","101","100","97","92","90","103","105","92"
"OAK","1448.0","97","99","98","85","98","100","98","98","98","99","98","96","100","101","102","97"
"KCR","1437.1","94","98","95","105","93","98","103","102","101","101","98","103","104","108","94","104"
"NYM","1452.1","105","106","99","98","105","106","95","98","96","100","99","100","101","100","95","106"
"NYY","1450.2","94","108","87","92","94","108","100","101","99","100","100","102","106","102","97","102"
"DET","1447.1","98","106","92","108","97","105","99","101","98","101","101","104","103","101","101","99"
"MIL","1444.1","109","94","116","96","109","94","101","100","104","99","102","94","95","101","96","104"
"TEX","1430.0","92","127","73","97","90","123","102","109","100","99","102","106","108","102","106","92"
"CHW","1440.2","95","94","102","108","95","93","102","101","101","97","103","98","102","102","98","102"
"PHI","1458.1","97","103","94","117","96","102","103","103","101","101","105","106","101","108","101","95"
"HOU","1464.2","102","94","109","121","101","93","102","101","101","101","107","104","99","91","102","102"
"WSN","1446.2","86","108","80","111","86","107","100","103","96","101","107","114","110","98","92","110"
"CIN","1449.2","99","89","110","118","98","89","106","103","104","98","108","101","100","106","93","105"
"STL","1435.2","88","95","93","101","88","95","101","101","99","96","108","106","104","101","101","99"
"SEA","1434.1","96","103","93","92","95","102","104","105","104","99","109","101","104","100","99","101"
"FLA","1443.2","106","123","86","105","102","118","106","113","108","98","112","108","104","107","97","100"
"PIT","1447.2","93","96","96","103","91","95","108","106","106","98","113","105","102","99","102","98"
"BAL","1438.2","102","131","78","100","100","128","100","108","100","97","114","104","107","98","102","98"
"TBD","1429.2","113","108","105","124","110","105","108","110","110","95","124","107","100","99","95","106"
