"Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"TOR","86","76","3.49","583","162","15","5","44","72","12","1446.2","6067","1330","610","561","134","467","42","67","51","4","1184"
"LAD","84","78","3.68","623","162","5","4","35","61","20","1447.1","6127","1381","648","592","123","480","58","48","47","4","1205"
"TBR","97","65","3.82","610","162","7","5","52","80","16","1457.2","6145","1349","671","618","166","526","29","46","52","3","1143"
"MIL","90","72","3.87","607","162","12","6","45","68","26","1455.2","6209","1415","689","626","175","528","32","42","53","5","1110"
"CHC","97","64","3.87","639","161","2","1","44","74","24","1450.2","6194","1329","671","624","160","548","45","65","48","7","1264"
"PHI","92","70","3.89","630","162","4","3","47","80","15","1449.2","6229","1444","680","627","160","533","64","57","34","3","1081"
"ARI","82","80","3.99","606","162","6","2","39","68","23","1434.2","6119","1403","706","636","147","451","41","68","59","3","1229"
"LAA","100","62","4.00","545","162","7","1","66","74","23","1451.1","6161","1455","697","645","160","457","32","63","50","2","1106"
"BOS","95","67","4.01","628","162","5","2","47","66","22","1446.1","6180","1369","694","645","147","548","17","68","43","2","1185"
"OAK","75","86","4.01","602","161","4","1","33","68","19","1435.0","6112","1364","690","640","135","576","45","54","30","4","1061"
"NYM","89","73","4.07","719","162","5","2","43","99","29","1464.1","6338","1415","715","663","163","590","53","70","55","4","1181"
"CHW","89","74","4.11","626","163","4","0","34","74","18","1457.2","6218","1471","729","665","156","460","42","48","54","3","1147"
"MIN","88","75","4.18","648","163","5","2","42","75","23","1459.0","6221","1568","745","677","183","406","38","31","45","4","995"
"STL","86","76","4.20","668","162","2","1","42","106","31","1454.0","6264","1517","725","679","163","496","21","51","50","2","957"
"NYY","89","73","4.28","637","162","1","0","42","79","9","1441.2","6175","1478","727","686","143","489","37","51","55","5","1141"
"SFG","72","90","4.38","640","162","4","2","41","56","19","1442.0","6341","1416","759","701","147","652","59","70","77","7","1240"
"HOU","86","75","4.39","649","161","4","3","48","80","17","1425.1","6125","1453","743","695","197","492","53","50","22","9","1095"
"SDP","63","99","4.41","653","162","3","0","30","55","26","1458.1","6286","1466","764","714","165","561","61","38","43","4","1100"
"FLA","84","77","4.44","672","161","2","1","36","87","24","1435.1","6271","1421","767","708","161","586","66","58","59","4","1127"
"CLE","81","81","4.46","561","162","10","5","31","51","20","1437.0","6164","1530","761","712","170","444","28","51","44","5","986"
"ATL","72","90","4.47","707","162","2","1","26","76","18","1440.2","6244","1439","778","715","156","586","80","42","42","5","1076"
"KCR","75","87","4.50","601","162","2","0","44","59","16","1445.2","6214","1473","781","723","159","515","15","41","68","5","1085"
"CIN","74","88","4.55","669","162","2","1","34","58","21","1442.1","6352","1542","800","729","201","557","40","67","52","7","1227"
"WSN","59","102","4.66","678","161","2","0","28","66","28","1434.0","6310","1496","825","743","190","588","44","51","59","8","1063"
"SEA","61","101","4.73","631","162","4","0","36","57","31","1435.1","6368","1544","811","754","161","626","37","53","60","5","1016"
"COL","74","88","4.77","647","162","3","1","36","59","23","1446.0","6338","1547","822","766","148","562","49","53","61","7","1041"
"DET","74","88","4.91","602","162","1","0","34","60","28","1445.0","6411","1541","857","788","172","644","63","68","65","7","991"
"PIT","67","95","5.10","659","162","3","2","34","65","22","1455.0","6528","1631","884","824","176","657","31","49","64","9","963"
"BAL","68","93","5.15","653","161","4","1","35","56","24","1422.0","6414","1538","869","814","184","687","44","80","72","7","922"
"TEX","79","83","5.37","619","162","6","2","36","73","28","1442.0","6506","1647","967","860","176","625","44","72","62","9","963"
