"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"NYY","6379","122","102","102","107","107","112","115","102","99","102","98","103","97","99"
"BOS","6356","108","103","103","103","111","109","124","101","97","90","113","101","99","100"
"MIN","6257","105","89","105","104","103","106","101","103","103","106","92","95","103","104"
"CIN","6285","94","105","104","102","106","106","109","104","104","97","102","97","99","106"
"TBR","6270","126","118","95","101","99","106","106","99","98","97","105","108","97","92"
"TOR","6072","91","110","95","95","111","105","140","91","94","90","114","110","97","88"
"MIL","6304","98","105","100","101","103","104","107","101","99","102","99","97","101","103"
"DET","6312","102","104","103","102","102","102","100","105","107","98","99","101","95","107"
"CHW","6118","90","86","103","101","103","100","103","99","98","104","97","104","96","99"
"ATL","6252","115","99","99","102","97","100","95","100","101","102","98","99","100","101"
"PHI","6291","101","92","99","100","100","99","102","97","98","102","99","103","102","92"
"STL","6241","98","89","100","100","97","99","92","98","101","104","94","97","100","106"
"TEX","6302","95","90","106","103","103","98","97","104","105","103","94","93","104","105"
"SFG","6143","90","97","98","97","99","98","100","97","97","102","99","104","96","100"
"KCR","6209","89","83","105","101","98","98","85","103","100","101","98","96","103","103"
"OAK","6117","101","99","98","99","93","95","83","101","107","96","101","97","103","99"
"CLE","6165","104","110","95","98","93","94","88","99","101","102","97","105","97","96"
"LAA","6089","90","101","95","95","96","94","96","95","95","105","97","95","105","102"
"ARI","6183","108","134","95","98","101","93","110","103","99","94","108","102","101","96"
"FLA","6194","94","120","97","97","98","92","99","102","99","102","98","104","98","96"
"SDP","6148","99","104","94","96","90","92","83","96","99","103","97","100","99","101"
"LAD","6140","98","105","96","97","92","92","84","99","110","103","92","94","103","106"
"COL","6265","106","110","100","101","103","91","108","103","104","96","103","95","104","101"
"CHC","6140","88","109","98","96","97","90","96","101","102","101","98","98","96","109"
"WSN","6100","93","108","95","96","95","90","93","98","94","108","94","96","104","101"
"NYM","6144","92","97","95","95","93","89","89","95","95","97","106","94","108","97"
"BAL","6109","82","99","100","96","95","87","86","100","98","104","96","95","103","103"
"PIT","5974","88","110","92","92","90","84","87","95","92","106","96","100","100","99"
"HOU","6005","78","93","94","91","88","79","76","94","96","108","93","95","104","102"
"SEA","5989","90","113","90","91","83","79","71","95","98","102","99","96","102","103"
